vendor_id,country_risk,industry,criticality,inherent_risk,outsourcing_category,vendor_age_years,years_with_company,annual_spend_m,spend_growth_pct,spend_concentration_pct,contract_amendments_24m,contract_obligation_count,service_schedule_count,contract_age_months,contract_months_to_expiry,prior_review_on_time_rate,ownership_changes_24m,mandatory_training_completion_pct,review_days_overdue,risk_assessment_days_overdue,attestation_days_overdue,open_issues,overdue_issues,repeat_issues_24m,avg_remediation_days,risk_acceptances_24m,assurance_exceptions,high_severity_assurance_findings,control_maturity_score,independent_assurance_age_months,sla_breaches_12m,availability_pct,operational_incidents_12m,critical_incidents_12m,mean_incident_resolution_hours,executive_escalations_12m,complaints_12m,critical_vulnerabilities,avg_critical_patch_days,security_incidents_24m,penetration_test_high_findings,external_cyber_score,revenue_growth_pct,debt_to_ebitda,current_ratio,credit_score,days_payable_outstanding,invoice_disputes_12m,service_dependency_pct,alternate_provider_count,geographic_concentration_pct,subcontractor_count,relationship_manager_changes_24m,overdue_review_12m,control_deficiency_12m,concentration_event_12m,financial_distress_12m,contract_non_compliance_12m,any_risk_event_12m
VEN-00001,Medium,Professional Services,Medium,Medium,Outsourcing,14.708393870224503,0.6184305306279163,4.926533513977312,-10.007021534734353,35.8655406324095,5,25,6,73,2,0.8677548669760997,0,76.28558053940331,0,0,0,1,0,0,81.80818798895075,0,1,0,3.99644946608582,2.65235912931137,3,99.09754868576783,1,1,25.969639159236127,0,1,1,62.4163859274578,0,0,717.7690345113543,-15.85160395870978,2.431958045771494,1.5417244309746576,780.7828996230979,39.29661621365883,0,40.12339286881087,2,70.20356492001689,2,1,0,0,0,0,1,1
VEN-00002,Low,Payments,High,Low,Material outsourcing,16.98088218332066,4.3113211879390745,1.3371563565212423,-20.49801290402281,20.248324804612103,1,15,4,28,26,0.9045697258894762,3,90.48750228768507,0,0,0,3,0,0,117.76481813174226,0,2,0,2.9754876944399067,9.349258566393988,0,99.0488465913807,1,0,8.765868686876036,1,0,1,5.667447128693119,0,0,695.5739285540326,15.76248402086868,1.246456397546486,1.5777959995690507,579.2611488085769,32.04375635944464,0,11.053736022559232,5,18.84663928522541,3,0,0,0,0,0,0,0
VEN-00003,Medium,Facilities,Low,Low,Non-outsourcing,10.44430712847549,5.027722218783346,1.568972895770432,-15.67979116935173,11.477776557717135,3,26,4,43,16,0.6576869774746408,1,84.23929689623384,0,178,0,7,3,1,106.1827994964613,0,2,2,2.440288280929651,15.173942161231672,4,99.6721286734564,2,0,13.805572075375874,0,1,1,20.930275248573288,0,0,606.3802603239133,11.202932378925803,2.174264745972441,0.9776145883983464,622.5510714093491,55.28636235830933,1,22.76181607732141,2,19.019977444871486,3,2,0,1,0,0,0,1
VEN-00004,Medium,Facilities,Medium,High,Outsourcing,13.997357920672975,8.264498521825564,4.922636971481035,19.585157649522003,28.034401903131613,0,27,7,87,5,0.6978309531494692,1,76.23085206855428,25,0,125,3,2,1,31.10869185599828,0,0,0,4.01216490644744,16.705065446843882,4,98.2453056088902,0,0,18.05856326729772,0,2,2,51.404468334203294,3,1,693.4970419791507,-6.466631177539181,4.290587272515221,1.435717897068318,681.8728146768387,14.6148651839177,1,58.11377375480822,3,44.56648771400216,4,3,0,0,0,0,1,1
VEN-00005,Low,Payments,Medium,Medium,Non-outsourcing,3.128514514671508,3.128514514671508,6.082752038914687,11.487311404583556,23.80460500639202,0,26,5,116,22,0.9059611924319156,1,97.39927005551316,0,0,0,3,1,0,96.87229781883136,0,1,0,1.4708910657720815,7.197975455084349,3,100.0,1,0,14.419146935006427,0,2,0,10.512658225570856,1,0,664.9744192025411,35.771527507776106,1.123722508373782,0.5594333883202159,561.7663335297873,53.13734168479826,2,13.4687489202998,4,44.39473126374091,3,0,0,0,0,0,0,0
VEN-00006,High,Telecommunications,High,Low,Outsourcing,14.30970585028327,6.949005680055974,5.24236264547735,-41.64327136233,21.137661324312727,1,21,2,6,22,0.5496008912673216,1,89.47025043834219,0,0,145,2,0,1,169.96200160586463,0,0,0,3.7267437630808753,13.779125316764253,7,99.67662245856786,0,0,36.17727638839572,0,1,1,26.19720619995737,1,2,814.7848689927405,23.4337344724678,3.558602868617088,2.042306545882288,789.372504586549,61.59178539761301,0,61.31959739223007,0,31.753087677655543,3,0,1,0,1,0,0,1
VEN-00007,Medium,Facilities,Critical,Medium,Outsourcing,9.06616214164326,9.06616214164326,2.488795809564451,35.54442281247616,47.32154681905555,0,24,2,50,32,0.8041455397883628,0,100.0,0,0,0,2,1,1,34.32509625209919,0,0,0,4.9451249525261485,17.790519751692646,1,99.76419454322208,0,0,28.44748188356988,0,0,0,18.363102445708176,0,0,758.8535822430013,14.606723549366288,1.258673522623735,1.0203980014725291,900.0,51.94079144028504,1,42.16938727490473,2,29.062093741988893,1,0,0,0,0,0,0,0
VEN-00008,Medium,Technology,High,Medium,Non-outsourcing,14.03318560927389,5.612314848648516,3.660025396164005,47.87647682327067,46.15255140586994,4,29,7,83,46,0.886305430005608,0,92.64768415840648,0,0,0,1,0,0,51.885197886373945,1,1,0,3.443838188140239,13.605955212471288,2,100.0,1,0,40.07235687054875,0,0,1,58.838974649875134,2,1,752.4288549868851,14.48786187654239,1.525514445412544,0.9569199901606562,780.7447551831029,65.84736409299053,0,65.98236574730338,1,66.8654226988062,7,0,0,0,0,0,0,0
VEN-00009,Low,Cloud,Medium,High,Outsourcing,10.684878607895005,1.4330175649960413,7.818281949220936,-41.91730871761842,41.695330369366346,2,28,5,56,11,0.7439457769849979,0,90.70359120098853,0,60,0,2,0,2,45.57390091614591,1,2,1,3.946953026285236,7.8968483347809535,3,100.0,0,0,12.925073546796105,0,5,1,18.22106211035811,0,1,950.0,17.498549471589023,2.017535610811381,0.7631382984361177,762.271339921706,15.59325882166302,3,53.47847276151597,2,26.52020214018348,2,0,0,0,0,0,0,0
VEN-00010,Low,Technology,Medium,Medium,Non-outsourcing,10.615884625060918,4.096435018031956,0.8159737861851335,35.3246645886169,62.04395514748404,3,27,4,101,40,0.7457197661369768,1,100.0,0,0,0,1,1,0,128.1717366573093,2,2,1,3.2223729360448043,17.557029741749144,4,100.0,0,0,7.563186401749256,0,0,1,19.98525374889472,0,1,931.2692081105456,-3.7407065255146055,2.7439895247737214,0.667715565609612,506.5702453428249,51.31711367511316,0,21.49301977271452,3,54.12790930089847,1,0,0,1,0,1,0,1
