supplier_id,country_risk_band,supplier_industry,business_criticality,inherent_tprm_rating,outsourcing_category,vendor_age_years,years_with_company
VEN-00001,Medium,Professional Services,Medium,Medium,Outsourcing,14.708393870224503,0.6184305306279163
VEN-00002,Low,Payments,High,Low,Material outsourcing,16.98088218332066,4.3113211879390745
VEN-00003,Medium,Facilities,Low,Low,Non-outsourcing,10.44430712847549,5.027722218783346
VEN-00004,Medium,Facilities,Medium,High,Outsourcing,13.997357920672975,8.264498521825564
VEN-00005,Low,Payments,Medium,Medium,Non-outsourcing,3.128514514671508,3.128514514671508
VEN-00006,High,Telecommunications,High,Low,Outsourcing,14.30970585028327,6.949005680055974
VEN-00007,Medium,Facilities,Critical,Medium,Outsourcing,9.06616214164326,9.06616214164326
VEN-00008,Medium,Technology,High,Medium,Non-outsourcing,14.03318560927389,5.612314848648516
VEN-00009,Low,Cloud,Medium,High,Outsourcing,10.684878607895005,1.4330175649960413
VEN-00010,Low,Technology,Medium,Medium,Non-outsourcing,10.615884625060918,4.096435018031956
VEN-00011,Low,Facilities,Medium,Low,Outsourcing,14.25339876180445,4.118876004428595
VEN-00012,High,Professional Services,Medium,Low,Non-outsourcing,9.30304789654717,5.284088784354623
VEN-00013,Low,Facilities,Low,Low,Outsourcing,10.412842945464211,9.551076031434947
VEN-00014,Medium,Telecommunications,High,Medium,Non-outsourcing,25.98708018843974,4.74670379038202
VEN-00015,Low,Telecommunications,High,Medium,Outsourcing,19.71341644201236,4.8240527575320895
VEN-00016,Low,Facilities,Medium,Medium,Non-outsourcing,9.756554671620442,9.756554671620442
VEN-00017,Low,Cloud,High,Medium,Outsourcing,10.791886951679022,2.459217711785964
VEN-00018,Low,Telecommunications,High,Medium,Non-outsourcing,7.925904739954602,5.951673646488003
VEN-00019,Medium,Telecommunications,Medium,Low,Non-outsourcing,9.08297395428634,3.2840842970948176
VEN-00020,Low,Professional Services,Low,Low,Outsourcing,9.309669469705604,6.342495051783101
VEN-00021,Medium,Payments,Low,Medium,Outsourcing,11.57054067628927,10.26887203772143
VEN-00022,Low,Payments,Medium,Medium,Outsourcing,3.3834652391232507,3.3834652391232507
VEN-00023,High,Facilities,Medium,High,Outsourcing,8.95348637694941,5.8763115131605685
VEN-00024,Medium,Facilities,Low,Low,Non-outsourcing,8.184030715375254,4.881742697710914
VEN-00025,Medium,Technology,Low,Medium,Material outsourcing,21.00924954092688,9.34950722508951
VEN-00026,Low,Payments,Low,Low,Non-outsourcing,10.7293990697109,7.980601872061389
