counterparty_id,amendment_count_24m,obligation_count,schedule_count,contract_start_date,contract_end_date
VEN-00001,5,25,6,01/12/2019,02/03/2026
VEN-00002,1,15,4,01/09/2023,01/03/2028
VEN-00003,3,26,4,01/06/2022,02/05/2027
VEN-00004,0,27,7,01/10/2018,01/06/2026
VEN-00005,0,26,5,01/05/2016,01/11/2027
VEN-00006,1,21,2,01/07/2025,01/11/2027
VEN-00007,0,24,2,31/10/2021,31/08/2028
VEN-00008,4,29,7,31/01/2019,31/10/2029
VEN-00009,2,28,5,02/05/2021,01/12/2026
VEN-00010,3,27,4,01/08/2017,02/05/2029
VEN-00011,2,31,5,02/07/2019,01/07/2029
VEN-00012,0,27,4,01/06/2022,02/05/2029
VEN-00013,0,27,7,02/05/2018,31/08/2030
VEN-00014,4,25,6,01/08/2022,02/07/2026
VEN-00015,0,30,3,31/10/2021,01/07/2029
VEN-00016,1,38,5,02/04/2023,01/06/2025
VEN-00017,2,35,1,01/01/2016,02/04/2027
VEN-00018,2,28,5,01/12/2021,01/06/2029
VEN-00019,3,38,3,01/06/2016,31/08/2030
VEN-00020,3,25,4,01/04/2020,01/12/2025
VEN-00021,2,23,1,31/08/2024,01/07/2029
VEN-00022,1,31,6,02/05/2018,02/07/2027
VEN-00023,1,27,6,01/01/2024,01/05/2028
VEN-00024,1,25,3,30/01/2017,02/03/2030
VEN-00025,3,34,5,01/05/2016,02/03/2030
VEN-00026,4,22,4,01/07/2020,01/09/2027
VEN-00027,4,35,6,31/12/2021,02/05/2030
VEN-00028,2,27,5,01/04/2021,31/12/2027
VEN-00029,3,23,3,02/03/2018,01/08/2026
VEN-00030,2,35,7,01/04/2022,31/10/2030
VEN-00031,2,30,3,01/06/2025,02/05/2027
VEN-00032,3,26,11,31/12/2019,02/07/2030
VEN-00033,2,34,3,01/08/2018,01/08/2030
VEN-00034,2,28,5,01/07/2024,31/10/2025
VEN-00035,0,21,2,02/05/2022,01/06/2029
VEN-00036,5,19,3,01/04/2021,01/04/2030
VEN-00037,3,27,1,01/11/2019,02/07/2026
VEN-00038,1,29,6,31/10/2020,01/03/2028
VEN-00039,2,24,5,01/06/2018,31/12/2030
VEN-00040,5,23,5,01/09/2019,01/12/2029
VEN-00041,6,34,5,31/10/2018,02/04/2027
VEN-00042,1,27,6,01/04/2025,02/05/2027
VEN-00043,1,26,1,30/09/2016,01/12/2025
VEN-00044,4,35,5,31/08/2021,31/10/2030
VEN-00045,3,29,2,01/10/2021,02/05/2030
VEN-00046,3,25,8,02/05/2018,31/10/2029
VEN-00047,3,24,9,31/10/2021,01/08/2027
VEN-00048,0,23,3,30/01/2018,01/12/2027
VEN-00049,4,35,5,01/10/2017,01/06/2027
VEN-00050,1,28,6,01/07/2020,02/05/2027
VEN-00051,1,25,5,01/05/2020,31/08/2025
VEN-00052,3,32,4,01/04/2017,02/07/2026
VEN-00053,2,30,3,02/07/2018,31/10/2028
VEN-00054,1,35,2,01/06/2018,01/12/2026
VEN-00055,1,32,4,31/12/2018,02/03/2026
