third_party_id,historic_review_timeliness_rate,relationship_owner_changes_24m,required_training_completion_pct,next_review_due_date,risk_assessment_due_date,attestation_due_date
VEN-00001,0.8677548669760997,0,76.28558053940331,2025-12-31,2025-12-31,2025-12-31
VEN-00002,0.9045697258894762,3,90.48750228768507,2025-12-31,2025-12-31,2025-12-31
VEN-00003,0.6576869774746408,1,84.23929689623384,2025-12-31,2025-07-06,2025-12-31
VEN-00004,0.6978309531494692,1,76.23085206855428,2025-12-06,2025-12-31,2025-08-28
VEN-00005,0.9059611924319156,1,97.39927005551316,2025-12-31,2025-12-31,2025-12-31
VEN-00006,0.5496008912673216,1,89.47025043834219,2025-12-31,2025-12-31,2025-08-08
VEN-00007,0.8041455397883628,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00008,0.886305430005608,0,92.64768415840648,2025-12-31,2025-12-31,2025-12-31
VEN-00009,0.7439457769849979,0,90.70359120098853,2025-12-31,2025-11-01,2025-12-31
VEN-00010,0.7457197661369768,1,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00011,0.8238846118593013,0,90.98199630445193,2025-12-31,2025-11-28,2025-12-31
VEN-00012,0.9385792189967486,0,94.31939959785475,2025-12-31,2025-12-31,2025-12-31
VEN-00013,0.9371801254569602,1,100.0,2025-12-31,2025-08-23,2025-12-31
VEN-00014,0.6651287452779091,1,95.14319590518078,2025-12-31,2025-12-31,2025-12-31
VEN-00015,0.7895962505159587,1,91.13594258125998,2025-12-31,2025-12-31,2025-12-31
VEN-00016,0.8689737980426584,0,100.0,2025-12-31,2025-08-16,2025-12-31
VEN-00017,0.7373849660499312,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00018,0.8934592538361248,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00019,0.6300938820394704,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00020,0.8281273203584179,1,94.7406672544048,2025-12-31,2025-12-31,2025-12-31
VEN-00021,0.9394839165271112,0,94.79957882735476,2025-12-31,2025-12-31,2025-12-31
VEN-00022,0.7807432085050957,2,93.8541402289334,2025-12-31,2025-12-31,2025-12-31
VEN-00023,0.8803315915830041,1,86.83081131230557,2025-12-31,2025-11-13,2025-12-31
VEN-00024,0.9115612004829616,0,96.10093267548808,2025-12-31,2025-12-31,2025-12-31
VEN-00025,0.6314494136029066,0,100.0,2025-10-26,2025-12-31,2025-12-31
VEN-00026,0.8628400256475243,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00027,0.8596125716075909,1,88.22745437763137,2025-12-31,2025-10-14,2025-12-31
VEN-00028,0.7825630207693826,0,88.99516872882135,2025-12-31,2025-10-15,2025-12-31
VEN-00029,0.8402700718567444,2,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00030,0.7889265921667153,2,88.33197601230107,2025-12-31,2025-12-31,2025-12-31
VEN-00031,0.9349091634870096,0,87.61352920394008,2025-12-31,2025-12-31,2025-12-31
VEN-00032,0.8784649937250711,1,87.53879359711485,2025-07-19,2025-12-31,2025-12-31
VEN-00033,0.7944830651633158,0,92.44022839957132,2025-08-27,2025-08-19,2025-12-31
VEN-00034,0.7813016623711113,2,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00035,0.8876752435611094,0,94.08304393947051,2025-12-31,2025-12-31,2025-12-31
VEN-00036,0.6907779118359866,1,90.78921503006876,2025-10-12,2025-12-31,2025-12-31
VEN-00037,0.6479763241212978,2,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00038,0.8836393477761554,0,89.16973612116333,2025-05-25,2025-12-31,2025-12-31
VEN-00039,0.8668754911229882,0,86.6893519714218,2025-12-31,2025-12-31,2025-12-31
VEN-00040,0.8904031897489338,0,91.9870800078408,2025-12-31,2025-12-23,2025-12-31
VEN-00041,0.4310509658297369,0,91.848103023148,2025-09-27,2025-12-31,2025-12-31
VEN-00042,0.7648593507783986,0,96.45048003663167,2025-12-31,2025-12-31,2025-12-31
VEN-00043,0.6857248859001146,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00044,0.8940251015158907,0,85.26496430246814,2025-12-31,2025-12-31,2025-12-31
VEN-00045,0.6771703627804496,2,91.69109548712451,2025-12-31,2025-12-31,2025-12-31
VEN-00046,0.6919584711276677,0,99.82280308847382,2025-12-31,2025-10-18,2025-08-17
VEN-00047,0.6959859700175506,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00048,0.8731988764086245,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00049,0.947288226607829,0,100.0,2025-06-23,2025-12-31,2025-09-08
VEN-00050,0.8963125251778624,3,91.40433935483104,2025-12-31,2025-12-31,2025-12-31
VEN-00051,0.8302473964210915,1,92.76646200624724,2025-12-31,2025-12-31,2025-12-31
VEN-00052,0.9165524313631492,0,87.45786014981488,2025-09-06,2025-10-15,2025-12-31
VEN-00053,0.850257147401545,0,93.35889423843236,2025-12-31,2025-12-31,2025-11-13
VEN-00054,0.6575634583004645,0,99.23344686747696,2025-09-17,2025-12-31,2025-11-11
VEN-00055,0.9085982907074316,1,93.93708439686284,2025-12-31,2025-12-31,2025-12-31
VEN-00056,0.6798409700924268,2,93.02096047880433,2025-12-31,2025-12-31,2025-12-31
VEN-00057,0.7273710843321738,0,99.45207912270465,2025-12-31,2025-10-19,2025-08-30
VEN-00058,0.6196623241578019,1,100.0,2025-12-31,2025-12-31,2025-09-07
VEN-00059,0.8328136506483189,1,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00060,0.7396688742843897,2,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00061,0.8057871258023954,0,96.10425047288612,2025-12-31,2025-12-31,2025-08-18
VEN-00062,0.6661529927847161,0,86.10698279408145,2025-12-31,2025-12-31,2025-12-31
VEN-00063,0.5017533785448584,1,90.34472171033444,2025-12-31,2025-12-22,2025-12-31
VEN-00064,0.8814763808867758,1,91.4443052398846,2025-06-19,2025-12-31,2025-12-31
VEN-00065,0.9727401926204589,0,95.39530346867308,2025-12-31,2025-12-31,2025-12-31
VEN-00066,0.607619501787616,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00067,0.8746156732829939,0,96.11750721812248,2025-12-31,2025-12-31,2025-08-03
VEN-00068,0.6136841330772886,0,86.05274285927631,2025-12-31,2025-12-31,2025-12-31
VEN-00069,0.6105963889209811,4,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00070,0.9781023032892228,0,97.13328277783609,2025-11-10,2025-12-31,2025-12-31
VEN-00071,0.8830657294810079,0,97.6462075310572,2025-12-31,2025-07-07,2025-12-31
VEN-00072,0.8802120067023055,2,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00073,0.8509681448606932,1,100.0,2025-12-31,2025-09-20,2025-12-31
VEN-00074,0.7665437173242797,0,98.65020891422016,2025-12-31,2025-12-31,2025-12-31
VEN-00075,0.4901194381491101,1,92.75413302898602,2025-07-04,2025-12-31,2025-12-31
VEN-00076,0.8633418907862289,0,100.0,2025-12-31,2025-12-31,2025-12-31
VEN-00077,0.80827921503351,0,74.94935902854911,2025-12-31,2025-12-31,2025-12-31
VEN-00078,0.9139752333190748,2,82.85467697796187,2025-07-06,2025-12-31,2025-12-31
VEN-00079,0.8867535963471587,0,100.0,2025-12-31,2025-12-31,2025-12-31
