related_party_id,open_issue_count,overdue_issue_count,repeat_issue_count_24m,mean_days_to_remediate,risk_acceptance_count_24m
VEN-00001,1,0,0,81.80818798895075,0
VEN-00002,3,0,0,117.76481813174226,0
VEN-00003,7,3,1,106.1827994964613,0
VEN-00004,3,2,1,31.10869185599828,0
VEN-00005,3,1,0,96.87229781883136,0
VEN-00006,2,0,1,169.96200160586463,0
VEN-00007,2,1,1,34.32509625209919,0
VEN-00008,1,0,0,51.885197886373945,1
VEN-00009,2,0,2,45.57390091614591,1
VEN-00010,1,1,0,128.1717366573093,2
VEN-00011,3,1,1,60.42490448591083,0
VEN-00012,2,0,0,21.70253788597289,1
VEN-00013,2,1,2,38.84297882051828,1
VEN-00014,4,0,1,26.567421050660272,3
VEN-00015,4,0,2,108.55372202870484,1
VEN-00016,2,0,0,121.73467143010367,1
VEN-00017,3,1,0,73.2928182841656,2
VEN-00018,5,1,0,205.44346645862228,0
VEN-00019,4,1,0,93.90287723661936,0
VEN-00020,2,1,1,63.02959351522341,1
VEN-00021,4,1,0,71.75772496331027,0
VEN-00022,4,2,0,41.96120086170657,0
VEN-00023,1,0,0,24.90913879686487,2
VEN-00024,1,0,2,152.56666020504397,1
VEN-00025,2,0,0,123.01023519309564,1
VEN-00026,5,3,4,60.4160276278245,0
VEN-00027,4,0,2,64.09967792073627,0
VEN-00028,3,1,0,88.07864818964306,0
VEN-00029,2,1,0,108.43094351722748,1
VEN-00030,1,0,0,72.24209783357598,1
VEN-00031,1,0,0,52.05090408547144,1
VEN-00032,2,0,0,32.39273135526901,0
VEN-00033,2,0,1,106.74459113107588,1
VEN-00034,1,0,0,29.215108670990794,0
VEN-00035,2,1,1,40.75388790535801,1
VEN-00036,5,1,1,48.41441969395723,1
VEN-00037,0,0,1,79.81182500284646,1
VEN-00038,3,0,1,40.60834176830731,0
VEN-00039,3,1,0,57.43297859518447,1
VEN-00040,1,0,0,76.76833683423008,0
VEN-00041,6,3,1,66.90761023193892,0
VEN-00042,3,1,0,49.83721176042005,0
VEN-00043,0,0,0,135.62323685619248,0
VEN-00044,6,2,0,134.12593931460975,1
VEN-00045,6,1,1,226.4935473700084,0
VEN-00046,1,1,1,121.97112634319436,1
VEN-00047,4,1,0,116.7704990361939,1
VEN-00048,3,2,0,84.15865461966145,0
VEN-00049,0,0,1,44.51673500977888,0
VEN-00050,4,2,0,50.67331876387056,0
VEN-00051,3,1,0,28.93837987525645,1
VEN-00052,6,1,0,86.73894193851848,0
VEN-00053,5,2,0,145.176392534472,1
VEN-00054,4,1,1,55.51623246056301,0
VEN-00055,4,1,0,70.66760579158802,1
VEN-00056,3,2,0,125.2817368626299,0
VEN-00057,0,0,0,117.724932015797,1
VEN-00058,1,0,0,44.52718103447568,0
VEN-00059,1,1,1,48.03964971786776,0
VEN-00060,1,0,2,120.7052001288474,1
VEN-00061,2,0,0,111.10297555116804,1
VEN-00062,3,1,0,93.97229262539722,0
VEN-00063,4,1,1,114.90721546558922,0
VEN-00064,4,0,1,28.511766362383774,0
VEN-00065,2,0,0,54.55293296752169,0
VEN-00066,2,1,1,28.81010856664884,0
VEN-00067,2,0,0,105.69273288323528,1
VEN-00068,5,2,0,25.6683914598459,0
VEN-00069,4,1,0,89.04577078872487,1
VEN-00070,2,0,1,119.81609504844504,0
VEN-00071,2,2,0,50.13410999993352,2
VEN-00072,3,0,0,127.9158060639346,3
VEN-00073,4,2,1,49.17653737501599,0
VEN-00074,4,1,0,32.20344896552118,1
VEN-00075,2,1,0,139.3612034557216,0
VEN-00076,2,1,1,68.53809049316013,0
VEN-00077,2,1,1,44.248709167960754,1
VEN-00078,1,0,1,42.45552417828885,0
VEN-00079,4,1,0,58.18812296327892,0
VEN-00080,3,1,0,82.58137144650561,2
VEN-00081,3,2,0,99.96028230817136,1
VEN-00082,5,1,0,68.07888592897746,1
VEN-00083,1,1,0,146.9691982149257,0
VEN-00084,1,0,0,26.59065996905558,1
VEN-00085,4,1,0,93.78600830486867,0
VEN-00086,0,0,1,132.20079372218547,1
VEN-00087,2,0,0,146.49171836164933,1
VEN-00088,5,1,0,64.39182150239924,0
VEN-00089,3,0,0,62.6866573836303,2
VEN-00090,2,1,0,92.64487399504686,0
VEN-00091,0,0,0,72.48622014004013,0
VEN-00092,1,0,0,11.498672003495416,2
VEN-00093,2,1,1,64.48193469015995,2
VEN-00094,3,1,0,180.44872925732795,3
VEN-00095,7,1,0,68.73385926133132,0
VEN-00096,2,0,0,90.3555829084569,1
VEN-00097,3,1,0,77.19001405396682,2
VEN-00098,2,0,0,131.6643107005231,0
VEN-00099,1,0,0,113.36929964563384,1
VEN-00100,6,3,0,39.64555468881372,0
VEN-00101,2,1,1,122.55899642956749,0
VEN-00102,3,1,1,57.21765331838805,0
VEN-00103,3,0,0,27.452450503491995,0
VEN-00104,3,0,0,60.42701015740962,1
VEN-00105,4,1,0,55.52165904853323,1
VEN-00106,3,1,3,65.0858837119116,0
VEN-00107,2,1,0,98.90594282986248,2
VEN-00108,1,1,2,78.55539007725167,0
VEN-00109,3,2,0,140.79354371260345,1
VEN-00110,2,2,0,77.15887549769978,1
VEN-00111,1,1,2,91.57563995542654,0
VEN-00112,5,2,0,55.76626207554581,0
VEN-00113,1,0,0,42.07680611041252,2
VEN-00114,3,2,1,70.02971797556245,0
VEN-00115,3,1,0,118.2617583408709,0
VEN-00116,3,2,0,118.23268398878524,0
VEN-00117,3,0,1,225.1817146305351,0
VEN-00118,4,2,0,67.65126721644036,1
VEN-00119,1,1,0,33.156499158304136,0
VEN-00120,2,0,0,51.870164034563246,2
VEN-00121,3,2,0,63.644663841344624,1
VEN-00122,2,0,1,83.9516588978067,0
VEN-00123,2,0,0,132.7837170866761,1
VEN-00124,3,0,0,75.82406286479255,0
VEN-00125,5,2,0,34.32608090642418,0
VEN-00126,5,2,0,72.00638936085097,0
VEN-00127,3,1,1,81.89241302587789,1
VEN-00128,2,1,0,107.91960180673986,1
VEN-00129,5,1,1,23.90668797943978,0
VEN-00130,2,0,1,15.636571691076549,0
VEN-00131,1,0,1,23.35004987789799,0
VEN-00132,3,1,0,74.17665394489387,1
VEN-00133,1,0,0,87.50536883114874,0
VEN-00134,2,1,0,25.69019877434729,1
VEN-00135,3,0,0,33.65133867547982,2
VEN-00136,3,0,1,60.04567437809173,0
VEN-00137,2,0,1,69.17531809872202,1
VEN-00138,1,0,0,85.73446517839088,0
VEN-00139,0,0,0,93.04885857814124,2
VEN-00140,3,0,2,57.60971629426689,1
VEN-00141,2,1,0,46.326732470612384,0
VEN-00142,3,2,0,69.79063563952087,0
VEN-00143,4,0,0,13.710897429625517,1
VEN-00144,5,3,2,98.29065725778592,0
VEN-00145,1,1,0,25.06786376306496,1
VEN-00146,0,0,0,34.04173447924705,1
VEN-00147,5,4,1,143.18519839713397,0
VEN-00148,3,0,0,32.75339763241209,0
VEN-00149,3,1,1,51.9876307305809,0
VEN-00150,3,0,0,63.34924131405649,1
VEN-00151,2,0,1,21.531684564067785,1
VEN-00152,3,0,0,52.27654267451378,0
VEN-00153,2,1,0,93.45636045240114,0
VEN-00154,1,0,1,127.51448590899643,0
VEN-00155,1,0,0,82.42873626564634,1
VEN-00156,1,0,0,44.179749789929645,1
VEN-00157,6,2,0,50.59621339788047,1
VEN-00158,2,1,1,77.6031287786772,1
VEN-00159,1,1,0,38.20626519084592,1
VEN-00160,2,0,0,55.15617873184539,0
VEN-00161,4,2,0,63.56945664026132,2
VEN-00162,3,0,0,14.677627261280357,0
VEN-00163,5,3,0,36.09664055401927,1
VEN-00164,4,2,0,26.709236622012565,0
VEN-00165,3,1,3,160.02983195619558,1
VEN-00166,2,1,0,26.90316545204152,3
VEN-00167,1,1,1,89.93879477692877,0
VEN-00168,4,2,0,101.52955632200364,1
VEN-00169,1,0,0,90.79005296436252,1
VEN-00170,4,1,0,28.620797991974467,0
VEN-00171,1,0,0,24.095065816482364,0
VEN-00172,2,0,1,43.7080066909313,0
VEN-00173,1,0,1,117.94433233991144,2
VEN-00174,1,1,0,171.71332245384548,4
VEN-00175,2,0,1,40.02320280935178,0
VEN-00176,1,1,0,170.79646862532502,1
