assessed_entity_id,assurance_exception_count,high_severity_finding_count,control_maturity_score,months_since_independent_assurance
VEN-00001,1,0,3.99644946608582,2.65235912931137
VEN-00002,2,0,2.9754876944399067,9.349258566393988
VEN-00003,2,2,2.440288280929651,15.173942161231672
VEN-00004,0,0,4.01216490644744,16.705065446843882
VEN-00005,1,0,1.4708910657720815,7.197975455084349
VEN-00006,0,0,3.7267437630808753,13.779125316764253
VEN-00007,0,0,4.9451249525261485,17.790519751692646
VEN-00008,1,0,3.443838188140239,13.605955212471288
VEN-00009,2,1,3.946953026285236,7.8968483347809535
VEN-00010,2,1,3.2223729360448043,17.557029741749144
VEN-00011,2,1,3.2786547101511867,33.006152790533875
VEN-00012,0,0,3.790590764687384,31.700547547345785
VEN-00013,1,0,4.118672862489342,7.073144843961106
VEN-00014,0,0,3.011856424555429,19.45384956847428
VEN-00015,0,0,2.4345769621322155,6.331958182527114
VEN-00016,0,0,3.5711237049933118,40.78351187304675
VEN-00017,1,0,3.75290293767656,7.196580532264132
VEN-00018,1,0,2.8356756457686583,5.5176258382366505
VEN-00019,2,1,5.0,7.140851431258136
VEN-00020,0,0,2.326689926199978,12.320237833521912
VEN-00021,0,0,2.9864855891008224,7.776453801390469
VEN-00022,1,0,3.525756932348516,16.877774000668325
VEN-00023,0,0,2.968544556676409,12.778585688912614
VEN-00024,1,0,4.010288237672125,7.279547046444289
VEN-00025,1,0,3.3730913234401174,32.9921359443094
VEN-00026,1,1,3.4298259025896054,16.49481696646853
VEN-00027,1,0,4.647431802793802,3.231701575988074
VEN-00028,0,0,4.771676016741749,14.32919680734232
VEN-00029,3,1,3.944570854919281,12.393182143946714
VEN-00030,1,0,3.941035897656557,4.9054789603948645
VEN-00031,3,1,5.0,13.411772364027984
VEN-00032,1,0,2.777737489599423,21.13739918848329
VEN-00033,0,0,4.71887984513014,16.739884584100782
VEN-00034,1,0,4.181950026181674,32.22277834901405
VEN-00035,0,0,3.434887245754894,7.1543921584972665
VEN-00036,0,0,3.4337874043761154,12.094471817090394
VEN-00037,1,0,3.031994271855102,5.178411451946494
VEN-00038,2,0,2.8281807192960504,4.697513067814092
VEN-00039,3,1,3.2520347798606206,12.812386881546718
VEN-00040,1,0,1.9517848586650797,7.505501152239291
