external_org_id,open_critical_vulnerability_count,average_critical_patch_age_days,security_incident_count_24m,penetration_test_high_finding_count,third_party_cyber_rating
VEN-00001,1,62.4163859274578,0,0,717.7690345113543
VEN-00002,1,5.667447128693119,0,0,695.5739285540326
VEN-00003,1,20.930275248573288,0,0,606.3802603239133
VEN-00004,2,51.404468334203294,3,1,693.4970419791507
VEN-00005,0,10.512658225570856,1,0,664.9744192025411
VEN-00006,1,26.19720619995737,1,2,814.7848689927405
VEN-00007,0,18.363102445708176,0,0,758.8535822430013
VEN-00008,1,58.838974649875134,2,1,752.4288549868851
VEN-00009,1,18.22106211035811,0,1,950.0
VEN-00010,1,19.98525374889472,0,1,931.2692081105456
VEN-00011,1,55.73493939614232,0,0,703.5003640349458
VEN-00012,1,32.84475103254892,1,1,817.6581496783808
VEN-00013,1,18.489265596017493,0,1,820.6490255445373
VEN-00014,2,22.64089314966827,1,0,736.3790164956271
VEN-00015,0,46.568045040307055,0,1,752.5709240360026
VEN-00016,0,14.826460245935875,1,0,893.3646781396836
VEN-00017,1,55.82930171804862,1,1,793.8484385332303
VEN-00018,0,31.363026359334185,0,0,656.4459664863086
VEN-00019,0,47.51793041542357,0,0,910.0791343375616
VEN-00020,2,33.64522763567951,1,0,950.0
VEN-00021,0,28.505943320889315,0,1,855.5140693059724
VEN-00022,1,35.456389123729465,0,0,635.8055223342392
VEN-00023,1,63.655384637013405,0,2,874.6199165325058
VEN-00024,1,15.780987550784827,0,0,728.0444203708022
VEN-00025,1,30.761163760650625,1,1,808.1753351055869
VEN-00026,1,11.572649758627293,1,0,768.9803743521625
VEN-00027,0,50.73608856796383,1,1,701.9914334295424
VEN-00028,0,3.7913197613319127,1,0,739.7264127109233
VEN-00029,1,54.09599052935767,0,1,705.7230656157192
VEN-00030,2,19.52485550739725,0,0,689.0957992786994
VEN-00031,0,65.01019864835186,0,0,796.9460222837814
VEN-00032,0,8.053659446911677,0,0,699.0101307986072
VEN-00033,1,37.52240165226527,1,1,680.713623779407
VEN-00034,0,64.92824131372328,0,1,817.8366843624068
VEN-00035,2,35.58336070807656,0,0,772.827972547635
VEN-00036,0,24.45234340415957,0,0,684.4172018027186
VEN-00037,1,29.629730240607504,0,0,613.4658570612721
VEN-00038,2,60.55161209080838,0,1,794.0859544330299
VEN-00039,1,27.951363894818662,1,3,775.084325984159
VEN-00040,2,47.315522584408114,0,0,611.4523476700459
VEN-00041,0,6.257748959483925,0,0,845.6622953295977
VEN-00042,0,46.2297164462903,0,0,742.2991973264266
VEN-00043,0,31.10093066249638,0,0,735.2464122013189
VEN-00044,0,58.99785394604571,0,1,644.8079683714436
VEN-00045,2,13.991679384448762,0,0,780.84436922635
VEN-00046,1,14.16869817783402,0,0,950.0
VEN-00047,0,30.451528959836388,0,0,719.1117009364671
VEN-00048,0,50.454799079877375,1,0,775.4847523738565
VEN-00049,1,34.622852413194785,0,1,641.2824763883973
VEN-00050,3,35.509327296811435,1,0,594.1748946635735
VEN-00051,1,15.531065648856282,1,0,796.1765308162535
VEN-00052,0,68.89170513275812,0,1,525.6626398276943
VEN-00053,0,27.839195724491507,0,1,901.3362128045534
VEN-00054,0,35.90283164562231,1,0,700.8459145445952
VEN-00055,1,51.55092033849102,0,0,907.2733201693408
VEN-00056,0,110.59731735832676,1,0,850.1712615937397
VEN-00057,1,107.02519370618252,0,0,814.5197228449972
VEN-00058,0,26.111707268541263,0,1,750.0230139040762
VEN-00059,0,49.531432306132,1,0,701.8641323265159
VEN-00060,0,27.64442529574881,1,1,680.4497638596607
VEN-00061,0,34.456667597405975,0,2,559.3003421756428
VEN-00062,4,43.21772395704683,0,0,868.5237770090539
VEN-00063,0,62.9400623310397,1,1,811.079346802676
VEN-00064,1,43.22358479165991,0,0,818.2774747163526
VEN-00065,0,61.66812779484619,0,0,711.1025232863566
VEN-00066,0,29.36719783135849,1,1,774.8555404363077
VEN-00067,1,79.85334619187232,0,0,853.704511596248
VEN-00068,2,27.13075077723748,1,0,900.8450087970684
VEN-00069,2,21.272111716901428,0,0,712.0415281102561
VEN-00070,1,34.8956647274285,0,0,647.5309351998404
VEN-00071,0,86.72212518306361,0,0,695.0010827559843
VEN-00072,1,21.572355490428475,0,1,779.5529311910409
VEN-00073,1,17.662469808294578,0,3,629.9348173781522
VEN-00074,1,42.86835364007948,0,0,759.4719601600949
VEN-00075,2,74.20745381633819,0,1,751.695031917285
VEN-00076,0,14.64347126221608,0,0,900.7590314979466
VEN-00077,2,50.00316659253034,1,1,779.5068967574769
VEN-00078,1,57.621185450219485,1,0,714.7406198384571
VEN-00079,0,33.31884075996315,1,0,751.7550357285685
VEN-00080,2,19.30533586998425,0,0,785.4259743988524
VEN-00081,0,38.19794862538276,0,0,875.3193640531312
VEN-00082,1,14.548711934056508,0,1,852.1394021329832
VEN-00083,4,50.52218329165069,0,1,840.2723321611232
VEN-00084,3,52.54784228460532,0,1,680.5731089487291
VEN-00085,2,27.03419893845989,0,4,674.3687500152283
VEN-00086,0,26.673925102125278,0,1,634.6792096702026
VEN-00087,1,57.83632936946321,0,0,881.2777030430863
VEN-00088,1,42.38127855092694,0,0,706.5577787744785
