vendor_reference,business_service_dependency_pct,viable_alternative_provider_count,single_region_delivery_pct,declared_subcontractor_count,relationship_manager_change_count_24m
VEN-00001,40.12339286881087,2,70.20356492001689,2,1
VEN-00002,11.053736022559232,5,18.84663928522541,3,0
VEN-00003,22.76181607732141,2,19.019977444871486,3,2
VEN-00004,58.11377375480822,3,44.56648771400216,4,3
VEN-00005,13.4687489202998,4,44.39473126374091,3,0
VEN-00006,61.31959739223007,0,31.753087677655543,3,0
VEN-00007,42.16938727490473,2,29.062093741988893,1,0
VEN-00008,65.98236574730338,1,66.8654226988062,7,0
VEN-00009,53.47847276151597,2,26.52020214018348,2,0
VEN-00010,21.49301977271452,3,54.12790930089847,1,0
VEN-00011,84.19924311018266,4,59.41775321298843,4,2
VEN-00012,1.8418743276292069,0,42.7014742924022,2,0
VEN-00013,60.96676380158922,0,69.29294324572521,2,1
VEN-00014,71.19470927094035,2,82.54033174132273,6,1
VEN-00015,10.85106655325266,0,39.76747676484711,1,1
VEN-00016,47.856229323784326,5,23.33766076524354,3,0
VEN-00017,51.0170259247585,1,29.40495799586445,4,1
VEN-00018,17.712718507385237,2,67.81637871566002,6,1
VEN-00019,14.609642054607152,1,59.746033275099855,5,2
VEN-00020,59.69143689675472,5,45.409475352704405,5,1
VEN-00021,20.48807215959081,2,58.64809598753201,4,2
VEN-00022,40.56212074228094,2,40.4114799967511,3,2
VEN-00023,26.44065561226964,5,47.99267968110325,1,2
VEN-00024,33.658242006888635,2,41.90092886219186,2,0
VEN-00025,35.423766003248616,1,40.1045510453064,1,0
VEN-00026,14.303676855533528,1,94.18976376687424,3,2
VEN-00027,19.599058199212184,3,62.63060594928037,1,2
VEN-00028,40.582029228976985,1,60.588873868762114,0,0
VEN-00029,28.517644421128324,1,72.49941118648738,1,1
VEN-00030,66.66202451310681,1,67.79061966029272,4,1
VEN-00031,22.12985437295355,2,58.661388932404535,6,0
VEN-00032,42.13943679202836,1,37.82570497764968,1,1
VEN-00033,45.307959177349694,2,72.1733407365586,5,1
VEN-00034,65.728416346904,4,61.780543690883896,4,0
VEN-00035,14.553195581275212,2,38.75321455137603,4,0
VEN-00036,22.60238512220731,2,34.728866602461714,3,0
VEN-00037,40.36032535098449,4,49.84429365937117,4,0
VEN-00038,67.07561764456158,1,57.68919224881481,4,0
VEN-00039,25.718995178194703,1,41.43387613183701,4,3
VEN-00040,41.50928222559824,4,38.03643110311559,2,1
VEN-00041,41.130954803162574,3,36.283628813709385,2,1
VEN-00042,35.60708454232344,2,47.27333424985876,4,0
VEN-00043,58.446064111569264,1,38.58757883186341,0,0
VEN-00044,42.34873786936333,3,19.67492385542002,1,2
VEN-00045,18.969412567691588,0,32.14767740665534,2,0
VEN-00046,71.47040856328312,3,26.44861523349072,3,2
VEN-00047,28.776483953615656,2,34.97599895078731,1,0
VEN-00048,41.38902308800593,1,52.2256890824487,5,1
VEN-00049,20.922399171852632,1,62.92713382984337,3,2
VEN-00050,56.03078324009135,2,88.98480873846678,2,0
VEN-00051,22.72698532398427,2,56.966109521525375,4,1
VEN-00052,56.8909963857919,0,10.701745438678817,0,1
VEN-00053,38.36831688102314,1,59.02171845902176,5,2
VEN-00054,56.84892331502562,3,89.96684524080764,5,0
VEN-00055,11.216666184776631,1,47.404423614621294,3,0
VEN-00056,11.613124015340723,2,31.432581965303868,5,1
VEN-00057,55.07640116293705,1,75.74447695945985,1,1
VEN-00058,42.221733527394,4,39.73310783794881,5,0
VEN-00059,64.35123112721529,2,43.03196037053566,2,3
VEN-00060,19.15759464175716,3,42.12764784393956,3,0
VEN-00061,1.6381244978110423,3,42.185865176164846,2,1
VEN-00062,73.76990967113912,1,38.28626079203558,3,1
VEN-00063,41.74624023829462,2,21.45313807575933,3,0
VEN-00064,50.70197863295103,2,34.11469275749662,4,0
VEN-00065,83.32730972798016,2,53.85751066559287,4,1
VEN-00066,9.577121697841038,0,17.256415496215887,2,1
VEN-00067,37.16320646639674,0,76.46900061914751,5,1
VEN-00068,49.88744156389454,4,59.7773504720515,5,0
VEN-00069,38.41026888448742,4,62.08647867793935,4,0
VEN-00070,73.40433905516184,1,41.07042213834016,5,0
VEN-00071,17.721389207708725,1,45.08264975575715,7,2
VEN-00072,35.06930004888225,1,36.59101858299573,4,1
VEN-00073,61.14083433821289,3,43.02620096857962,3,3
VEN-00074,4.409057764437349,5,33.61472992352025,2,2
VEN-00075,35.8632635445376,5,31.12615375732206,4,1
VEN-00076,37.76904685493079,3,17.531157002140848,5,1
VEN-00077,47.956511127699606,3,17.843587912852406,3,1
VEN-00078,60.694328286865286,1,37.15508238474731,2,0
VEN-00079,50.619173051172325,2,85.17647709976956,4,1
VEN-00080,27.92205957905886,3,50.04157480272292,1,1
VEN-00081,78.04701599744142,1,13.419807457033109,2,1
VEN-00082,20.89383548599757,3,62.28165985419989,3,1
VEN-00083,92.78035580129092,2,42.40216289321302,5,0
VEN-00084,39.70611854961096,3,78.16188563393315,2,1
VEN-00085,38.48539261724252,2,25.882589200568106,4,0
VEN-00086,67.30335729210516,0,37.20231271776671,1,1
VEN-00087,12.018674288741376,2,28.417190982236257,2,0
VEN-00088,66.31257539829369,4,51.51135877266,2,1
VEN-00089,74.08446039420609,5,44.44621325169033,2,0
VEN-00090,45.63690479084052,1,5.137653053072484,1,1
VEN-00091,19.56319245831708,0,57.23590422554767,6,0
VEN-00092,34.88920699679607,4,52.02619371175646,2,1
VEN-00093,32.9591432706579,2,36.94121351172141,3,2
VEN-00094,40.82258802846212,4,51.03139790728416,1,2
VEN-00095,53.89908832564728,3,44.36448996068408,1,0
VEN-00096,25.571671641800098,3,31.78473537727409,2,0
VEN-00097,33.424608794069755,0,74.51913826608721,5,0
VEN-00098,22.0136341852438,2,19.84927325644618,1,2
VEN-00099,20.264978812278635,1,87.01104462782632,2,1
VEN-00100,10.810907201236596,0,76.04750379914374,2,0
VEN-00101,21.522733290160637,2,26.61002914485964,4,0
VEN-00102,51.11686140906715,5,62.119671388760935,1,1
VEN-00103,46.03064135538551,3,53.82786651082439,4,1
VEN-00104,54.07008243027728,2,45.328878065406535,3,0
VEN-00105,52.60564680519294,2,26.57835856464725,7,0
VEN-00106,16.264283616896584,0,29.1021076559566,3,1
VEN-00107,56.30909229240644,0,54.2602787537317,1,1
VEN-00108,71.32486837610867,2,28.09654412153941,3,1
VEN-00109,39.72663789460037,2,31.676277749318547,5,0
VEN-00110,36.05593559326916,4,50.20174098189639,0,0
VEN-00111,78.80221755130611,3,61.03789495585825,4,0
VEN-00112,54.61724973788501,1,67.52833584518834,1,1
VEN-00113,53.27548630755251,1,17.85809497060795,6,0
VEN-00114,59.8203229210584,2,50.905928449077145,1,0
VEN-00115,44.02963127071264,3,48.37174954207909,4,2
VEN-00116,4.303965746950681,1,64.3867168524258,2,1
VEN-00117,25.654815415255595,4,78.76758934866771,2,0
VEN-00118,46.79026617167764,2,40.4180061187611,6,1
VEN-00119,38.89014940134796,3,17.12566064422963,3,1
VEN-00120,23.29528349281146,6,91.2778101156476,3,0
VEN-00121,15.426635087843469,2,40.619629491055136,6,2
VEN-00122,20.029339012330617,2,78.21877936713561,2,2
VEN-00123,15.32417872845408,2,40.39972420438662,5,2
VEN-00124,46.85190539433569,0,23.47855887979446,0,0
VEN-00125,25.153847142454776,5,66.05438759303892,6,0
VEN-00126,71.57902875433844,2,45.3989897911646,0,1
VEN-00127,37.41913873568345,1,37.05264520737726,5,1
VEN-00128,77.65748214565157,2,57.70899871017961,3,0
VEN-00129,59.795897621787205,2,42.8572027392486,3,0
VEN-00130,65.74362862640658,3,6.4710149796025895,5,0
VEN-00131,14.27950052088608,2,42.99262300246768,5,1
VEN-00132,28.09565506861479,0,23.923487480082247,4,0
VEN-00133,39.82815572444064,3,71.58176666053294,3,2
VEN-00134,46.57828687577566,1,48.992751281678856,2,1
VEN-00135,18.06426900490779,1,7.984739666180324,3,0
VEN-00136,8.484139561555434,3,15.65619007844272,3,1
VEN-00137,73.66218496196846,0,13.296843354880474,7,0
VEN-00138,19.713127845339315,0,31.831428527828788,3,2
VEN-00139,74.63718379023786,5,37.79677944667188,3,0
VEN-00140,16.419981801705962,2,36.62316593899212,2,1
VEN-00141,18.378491582957544,1,46.89943867476105,4,1
VEN-00142,19.286209563988077,2,50.90688293128084,1,1
VEN-00143,31.375801439405983,2,15.215703557633825,3,0
VEN-00144,69.38354172813675,1,56.03884456091279,6,0
VEN-00145,72.04188082857281,3,61.72606145914949,2,0
VEN-00146,74.50045627588942,3,44.47869206312271,3,0
VEN-00147,45.2793143659113,4,79.68037414653556,10,0
VEN-00148,12.681741415302165,0,33.73468877794439,0,1
VEN-00149,46.61745860775014,2,49.299499991869936,4,0
VEN-00150,52.0022896503712,0,17.723205719376082,3,1
VEN-00151,56.21310133170485,4,54.52554143969659,2,2
VEN-00152,61.29351532755842,1,35.008271513015174,2,1
VEN-00153,26.369754916130976,0,67.14832818675605,2,0
VEN-00154,52.60964653375512,1,49.43678202477543,5,0
VEN-00155,66.4641872391739,3,55.46440750065529,2,1
VEN-00156,19.76649657133599,4,50.92239201892973,1,0
VEN-00157,40.44864215166857,4,12.307051159091708,3,2
VEN-00158,15.62790086861559,3,36.57017977840555,2,2
VEN-00159,7.965202830896165,3,76.39204003955635,7,0
VEN-00160,45.38234079431004,2,56.96633649382736,3,1
VEN-00161,12.239732850717758,1,48.63552715035513,2,1
VEN-00162,20.876978702793597,0,49.86630844815914,3,3
