vendor_key,overdue_review_12m,control_deficiency_12m,concentration_event_12m,financial_distress_12m,contract_non_compliance_12m
VEN-00001,0,0,0,0,1
VEN-00002,0,0,0,0,0
VEN-00003,0,1,0,0,0
VEN-00004,0,0,0,0,1
VEN-00005,0,0,0,0,0
VEN-00006,1,0,1,0,0
VEN-00007,0,0,0,0,0
VEN-00008,0,0,0,0,0
VEN-00009,0,0,0,0,0
VEN-00010,0,1,0,1,0
VEN-00011,0,0,1,0,0
VEN-00012,0,0,0,0,0
VEN-00013,0,0,0,0,0
VEN-00014,1,0,1,1,0
VEN-00015,0,0,0,0,0
VEN-00016,0,0,0,0,0
VEN-00017,0,0,0,0,0
VEN-00018,0,0,0,0,1
VEN-00019,0,0,1,0,1
VEN-00020,0,1,0,0,0
VEN-00021,0,0,0,1,0
VEN-00022,0,0,0,0,0
VEN-00023,0,0,0,0,0
VEN-00024,0,0,0,0,0
VEN-00025,0,0,0,0,0
VEN-00026,0,1,0,0,0
VEN-00027,0,0,0,0,1
VEN-00028,0,0,0,0,0
VEN-00029,0,0,0,0,0
VEN-00030,0,0,0,0,0
VEN-00031,0,0,0,0,0
VEN-00032,1,0,0,0,0
VEN-00033,0,0,0,0,0
VEN-00034,0,0,0,0,1
VEN-00035,0,1,0,0,0
VEN-00036,0,0,0,0,0
VEN-00037,0,0,0,0,0
VEN-00038,0,0,1,0,0
VEN-00039,0,0,0,0,0
VEN-00040,0,0,0,0,0
VEN-00041,1,0,0,0,1
VEN-00042,0,0,0,0,0
VEN-00043,0,0,0,0,0
VEN-00044,0,0,0,0,1
VEN-00045,0,0,0,0,0
VEN-00046,0,0,0,0,0
VEN-00047,0,0,0,0,0
VEN-00048,0,0,0,0,0
VEN-00049,0,0,0,0,1
VEN-00050,0,0,0,0,0
VEN-00051,0,0,0,0,0
VEN-00052,0,0,0,0,0
VEN-00053,0,0,0,0,0
VEN-00054,0,0,0,0,0
VEN-00055,0,0,0,0,0
VEN-00056,0,1,0,0,0
VEN-00057,0,0,0,1,0
VEN-00058,1,0,0,0,1
VEN-00059,0,0,0,0,0
VEN-00060,0,0,0,0,0
VEN-00061,0,0,0,0,0
VEN-00062,0,0,0,0,0
VEN-00063,0,0,0,0,0
VEN-00064,1,0,0,1,0
VEN-00065,0,0,0,0,0
VEN-00066,0,0,0,1,0
VEN-00067,0,0,1,0,1
VEN-00068,0,0,1,0,0
VEN-00069,1,0,0,1,0
VEN-00070,0,0,0,0,0
VEN-00071,0,0,0,0,0
VEN-00072,0,0,0,0,0
VEN-00073,0,0,0,0,0
VEN-00074,0,0,0,0,0
VEN-00075,0,0,0,1,0
VEN-00076,0,0,0,0,0
VEN-00077,0,0,0,0,0
VEN-00078,1,0,0,1,1
VEN-00079,0,0,0,0,0
VEN-00080,0,0,0,0,0
VEN-00081,0,0,0,0,0
VEN-00082,0,0,0,0,0
VEN-00083,0,0,0,0,0
VEN-00084,0,0,0,0,0
VEN-00085,0,0,1,0,0
VEN-00086,0,0,1,0,0
VEN-00087,0,0,0,0,0
VEN-00088,0,0,0,0,0
VEN-00089,0,0,0,0,0
VEN-00090,0,0,0,0,0
VEN-00091,0,0,0,0,0
VEN-00092,0,0,0,0,0
VEN-00093,1,1,0,0,0
VEN-00094,0,0,0,0,0
VEN-00095,1,0,0,0,0
VEN-00096,0,0,0,0,0
VEN-00097,0,0,0,0,0
VEN-00098,0,0,0,0,0
VEN-00099,0,0,0,0,0
VEN-00100,0,1,0,0,0
VEN-00101,1,1,0,0,0
VEN-00102,0,0,0,1,0
VEN-00103,0,0,0,0,0
VEN-00104,0,0,0,0,0
VEN-00105,1,0,0,0,0
VEN-00106,0,0,0,0,0
VEN-00107,1,0,0,0,0
VEN-00108,0,0,0,0,1
VEN-00109,0,0,0,1,0
VEN-00110,0,0,0,0,1
VEN-00111,0,0,1,0,0
VEN-00112,0,0,1,0,0
VEN-00113,0,0,0,0,0
VEN-00114,0,0,0,0,0
VEN-00115,0,0,0,0,0
VEN-00116,0,0,0,0,0
VEN-00117,0,0,0,0,1
VEN-00118,0,0,0,1,0
VEN-00119,0,0,0,0,1
VEN-00120,0,0,0,0,0
VEN-00121,0,0,0,0,0
VEN-00122,0,1,0,0,0
VEN-00123,0,0,0,0,1
VEN-00124,0,0,0,0,0
VEN-00125,0,0,0,0,0
VEN-00126,0,0,0,0,1
VEN-00127,0,0,0,0,0
VEN-00128,0,0,1,0,0
VEN-00129,1,0,0,1,0
VEN-00130,0,0,0,0,0
VEN-00131,0,0,0,0,0
VEN-00132,0,0,1,0,0
VEN-00133,0,0,0,0,0
VEN-00134,0,0,0,0,0
VEN-00135,0,0,0,0,0
VEN-00136,0,0,0,0,0
VEN-00137,0,0,0,0,1
VEN-00138,0,0,0,0,0
VEN-00139,0,0,0,0,0
VEN-00140,0,0,0,0,0
VEN-00141,0,0,0,0,0
VEN-00142,0,0,0,0,0
VEN-00143,1,0,0,1,0
VEN-00144,0,1,1,0,0
VEN-00145,0,0,0,0,0
VEN-00146,0,0,0,0,0
VEN-00147,0,0,0,0,0
VEN-00148,1,0,0,0,0
VEN-00149,0,0,0,0,0
VEN-00150,0,0,0,0,0
VEN-00151,1,0,0,0,0
VEN-00152,0,0,0,0,0
VEN-00153,1,0,0,0,0
VEN-00154,0,0,1,1,0
VEN-00155,0,0,0,1,0
VEN-00156,0,0,0,1,0
VEN-00157,0,0,0,1,0
VEN-00158,0,0,0,0,0
VEN-00159,0,0,0,1,0
VEN-00160,1,0,0,0,0
VEN-00161,0,0,0,0,0
VEN-00162,0,0,0,0,0
VEN-00163,0,0,0,0,0
VEN-00164,0,0,1,0,0
VEN-00165,0,1,0,1,0
VEN-00166,0,0,0,0,0
VEN-00167,0,0,0,1,0
VEN-00168,0,0,1,0,0
VEN-00169,0,0,0,0,0
VEN-00170,0,0,0,0,0
VEN-00171,0,0,0,0,0
VEN-00172,0,1,1,0,0
VEN-00173,0,0,0,0,0
VEN-00174,0,0,0,0,0
VEN-00175,0,0,0,0,0
VEN-00176,0,0,0,0,0
VEN-00177,0,1,0,0,0
VEN-00178,0,0,0,0,0
VEN-00179,1,1,0,0,0
VEN-00180,0,0,0,0,0
VEN-00181,0,0,0,0,0
VEN-00182,0,0,0,1,0
VEN-00183,0,0,1,0,0
VEN-00184,0,0,0,0,0
VEN-00185,0,0,0,0,0
VEN-00186,0,0,0,0,0
